HUMAN,Monday A BHS,Monday A Red,Monday A Blue,Tuesday A BHS,Tuesday  A Red,Tuesday A Blue,Wednesday A BHS,Wednesday A Red,Wednesday A Blue,Thursday A BHS,Thursday A Red,Thursday A Blue,Friday A BHS,Friday A Red,Friday A Blue,Monday B BHS,Monday B Red,Monday B Blue,Tuesday B BHS,Tuesday B Red,Tuesday B Blue,Wednesday B BHS,Wednesday B Red,Wednesday B Blue,Thursday B BHS,Thursday B Red,Thursday B Blue,Friday B  BHS,Friday B Red,Friday B Blue
8:35 AM,A1,A1,A1,C1,C1,C1,A2,A2,A2,B3,B3,B3,B4,B4,B4,A4,A4,A4,A5,A5,B5,A6,A6,A6,FC,FC,FC,A7,A7,A7
8:36 AM,A1,A1,A1,C1,C1,C1,A2,A2,A2,B3,B3,B3,B4,B4,B4,A4,A4,A4,A5,A5,B5,A6,A6,A6,FC,FC,FC,A7,A7,A7
8:37 AM,A1,A1,A1,C1,C1,C1,A2,A2,A2,B3,B3,B3,B4,B4,B4,A4,A4,A4,A5,A5,B5,A6,A6,A6,FC,FC,FC,A7,A7,A7
8:38 AM,A1,A1,A1,C1,C1,C1,A2,A2,A2,B3,B3,B3,B4,B4,B4,A4,A4,A4,A5,A5,B5,A6,A6,A6,FC,FC,FC,A7,A7,A7
8:39 AM,A1,A1,A1,C1,C1,C1,A2,A2,A2,B3,B3,B3,B4,B4,B4,A4,A4,A4,A5,A5,B5,A6,A6,A6,FC,FC,FC,A7,A7,A7
8:40 AM,A1,A1,A1,C1,C1,C1,A2,A2,A2,B3,B3,B3,B4,B4,B4,A4,A4,A4,A5,A5,B5,A6,A6,A6,FC,FC,FC,A7,A7,A7
8:41 AM,A1,A1,A1,C1,C1,C1,A2,A2,A2,B3,B3,B3,B4,B4,B4,A4,A4,A4,A5,A5,B5,A6,A6,A6,FC,FC,FC,A7,A7,A7
8:42 AM,A1,A1,A1,C1,C1,C1,A2,A2,A2,B3,B3,B3,B4,B4,B4,A4,A4,A4,A5,A5,B5,A6,A6,A6,FC,FC,FC,A7,A7,A7
8:43 AM,A1,A1,A1,C1,C1,C1,A2,A2,A2,B3,B3,B3,B4,B4,B4,A4,A4,A4,A5,A5,B5,A6,A6,A6,FC,FC,FC,A7,A7,A7
8:44 AM,A1,A1,A1,C1,C1,C1,A2,A2,A2,B3,B3,B3,B4,B4,B4,A4,A4,A4,A5,A5,B5,A6,A6,A6,FC,FC,FC,A7,A7,A7
8:45 AM,A1,A1,A1,C1,C1,C1,A2,A2,A2,B3,B3,B3,B4,B4,B4,A4,A4,A4,A5,A5,B5,A6,A6,A6,FC,FC,FC,A7,A7,A7
8:46 AM,A1,A1,A1,C1,C1,C1,A2,A2,A2,B3,B3,B3,B4,B4,B4,A4,A4,A4,A5,A5,B5,A6,A6,A6,FC,FC,FC,A7,A7,A7
8:47 AM,A1,A1,A1,C1,C1,C1,A2,A2,A2,B3,B3,B3,B4,B4,B4,A4,A4,A4,A5,A5,B5,A6,A6,A6,FC,FC,FC,A7,A7,A7
8:48 AM,A1,A1,A1,C1,C1,C1,A2,A2,A2,B3,B3,B3,B4,B4,B4,A4,A4,A4,A5,A5,B5,A6,A6,A6,FC,FC,FC,A7,A7,A7
8:49 AM,A1,A1,A1,C1,C1,C1,A2,A2,A2,B3,B3,B3,B4,B4,B4,A4,A4,A4,A5,A5,B5,A6,A6,A6,FC,FC,FC,A7,A7,A7
8:50 AM,A1,A1,A1,C1,C1,C1,A2,A2,A2,B3,B3,B3,B4,B4,B4,A4,A4,A4,A5,A5,B5,A6,A6,A6,FC,FC,FC,A7,A7,A7
8:51 AM,A1,A1,A1,C1,C1,C1,A2,A2,A2,B3,B3,B3,B4,B4,B4,A4,A4,A4,A5,A5,B5,A6,A6,A6,FC,FC,FC,A7,A7,A7
8:52 AM,A1,A1,A1,C1,C1,C1,A2,A2,A2,B3,B3,B3,B4,B4,B4,A4,A4,A4,A5,A5,B5,A6,A6,A6,FC,FC,FC,A7,A7,A7
